fen,type,wdl,dtz,num_pieces,turn
8/8/6k1/2qp4/5Q1K/8/8/8 b - - 0 1,Q vs k+q+p,0,0,5,0
8/8/2k3R1/8/2K5/8/8/8 b - - 0 1,R vs k,-2,-20,3,0
4k3/6K1/8/8/2q5/8/8/8 w - - 0 1,K vs k+q,-2,-10,3,1
8/8/5n2/8/7k/5K2/8/5b2 w - - 0 1,K vs k+b+n,-2,-59,4,1
8/8/8/8/2n5/8/8/K4k2 b - - 0 1,K vs k+n,0,0,3,0
4K3/8/8/8/8/5b1k/8/7P b - - 0 1,P vs k+b,0,0,4,0
5q1K/8/8/8/3k4/2N4n/8/8 w - - 0 1,N vs k+q+n,-2,-2,5,1
8/1R6/8/6kr/8/8/8/6K1 b - - 0 1,R vs k+r,0,0,4,0
8/6k1/8/8/8/R7/2K1r3/8 w - - 0 1,R vs k+r,0,0,4,1
4K3/8/8/8/N1k5/8/8/8 b - - 0 1,N vs k,0,0,3,0
3R4/7k/7b/8/8/7K/2b5/8 b - - 0 1,R vs k+2b,0,0,5,0
1k6/8/N7/8/8/8/4K2r/6p1 w - - 0 1,N vs k+r+p,-2,-10,5,1
7K/8/7P/k7/8/8/8/8 w - - 0 1,P vs k,2,1,3,1
8/P7/8/3N4/8/7k/K1P5/8 b - - 0 1,N+2P vs k,-2,-2,5,0
8/3N4/8/8/7b/8/1N6/1k5K w - - 0 1,2N vs k+b,0,0,5,1
k7/8/1K6/8/8/8/8/7n w - - 0 1,K vs k+n,0,0,3,1
5k2/5N2/8/1r6/8/1q6/8/K7 w - - 0 1,N vs k+q+r,-2,-2,5,1
8/4q3/8/8/8/8/k7/3K4 b - - 0 1,K vs k+q,2,7,3,0
8/3K4/8/6Nk/8/8/8/2R5 b - - 0 1,R+N vs k,-2,-12,4,0
8/4N3/2Q5/3k4/5R2/4K3/8/8 b - - 0 1,Q+R+N vs k,-2,-2,5,0
8/5n1R/3K4/1k6/2R5/8/8/8 w - - 0 1,2R vs k+n,2,1,5,1
8/8/8/7b/8/8/2K3p1/7k w - - 0 1,K vs k+b+p,-2,-2,4,1
8/8/5Q2/6K1/2k5/8/8/6N1 w - - 0 1,Q+N vs k,2,11,4,1
8/2K5/7k/8/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
1r6/8/8/4r3/k7/8/8/4K1r1 w - - 0 1,K vs k+3r,-2,-4,5,1
3K4/k3P3/8/8/8/8/8/8 b - - 0 1,P vs k,-2,-2,3,0
2b5/2k5/7K/8/5r2/8/8/r2P4 b - - 0 1,P vs k+2r+b,2,1,6,0
4r2k/5K2/8/6P1/8/8/8/8 b - - 0 1,P vs k+r,2,11,4,0
3N4/2K5/8/8/8/6k1/4q3/8 w - - 0 1,N vs k+q,-2,-24,4,1
5b2/k7/r1K5/8/8/2n5/8/8 w - - 0 1,K vs k+r+b+n,-2,-6,5,1
7K/8/8/8/1k6/6b1/8/8 w - - 0 1,K vs k+b,0,0,3,1
8/K7/1r6/4rk2/8/8/1b6/8 w - - 0 1,K vs k+2r+b,-2,-2,5,1
R5K1/8/8/8/8/8/5k1N/8 w - - 0 1,R+N vs k,2,13,4,1
1k6/8/8/Q7/8/8/2K5/1n6 b - - 0 1,Q vs k+n,-2,-2,4,0
7k/8/8/8/7N/3K3Q/8/8 b - - 0 1,Q+N vs k,-2,-8,4,0
4n3/8/1K6/8/4k3/8/8/8 w - - 0 1,K vs k+n,0,0,3,1
8/8/8/1r6/8/k7/2n5/7K b - - 0 1,K vs k+r+n,2,9,4,0
8/8/8/1K3k2/8/8/r7/8 b - - 0 1,K vs k+r,2,23,3,0
8/4k3/6K1/3r4/8/6P1/4R3/8 b - - 0 1,R+P vs k+r,0,0,5,0
8/3B1kN1/8/8/4K3/8/8/4p3 b - - 0 1,B+N vs k+p,2,1,5,0
8/8/5k2/8/7Q/3K4/8/8 b - - 0 1,Q vs k,-2,-12,3,0
3q1K2/8/8/8/8/2k5/8/8 w - - 0 1,K vs k+q,-2,-12,3,1
8/8/8/8/3p4/7K/3k4/8 b - - 0 1,K vs k+p,2,1,3,0
8/8/5k2/8/8/6K1/p1P5/8 w - - 0 1,P vs k+p,-2,-1,4,1
8/8/8/1q6/4K3/8/8/7k b - - 0 1,K vs k+q,2,11,3,0
8/3K1k2/8/8/6B1/8/8/8 w - - 0 1,B vs k,0,0,3,1
8/1k6/2b5/5Q2/8/4K3/8/8 b - - 0 1,Q vs k+b,-2,-14,4,0
8/8/5BK1/8/8/7k/8/8 w - - 0 1,B vs k,0,0,3,1
8/8/7k/8/2q5/5K2/8/n7 w - - 0 1,K vs k+q+n,-2,-10,4,1
8/8/8/8/8/8/2Bn1K2/k7 b - - 0 1,B vs k+n,0,0,4,0
K7/2b5/8/6k1/8/8/8/8 w - - 0 1,K vs k+b,0,0,3,1
8/2n5/4K3/8/8/8/8/3k4 w - - 0 1,K vs k+n,0,0,3,1
1B6/8/8/NP6/5Kk1/8/8/8 b - - 0 1,B+N+P vs k,0,0,5,0
8/8/4R3/8/8/6N1/1K6/6k1 b - - 0 1,R+N vs k,-2,-14,4,0
2B5/1K6/8/6k1/8/8/8/8 b - - 0 1,B vs k,0,0,3,0
8/4R3/8/3k4/8/8/7K/1R6 w - - 0 1,2R vs k,2,5,4,1
1r6/2K5/8/8/8/3N4/2n5/k7 b - - 0 1,N vs k+r+n,2,33,5,0
8/8/3P4/8/8/1K1k4/8/8 b - - 0 1,P vs k,-2,-2,3,0
8/1r1k4/8/8/5K2/8/7q/8 w - - 0 1,K vs k+q+r,-2,-6,4,1
1p2B1k1/1K6/8/8/8/8/8/8 w - - 0 1,B vs k+p,0,0,4,1
8/8/8/8/8/3Q4/K3kQ2/8 b - - 0 1,2Q vs k,-2,-1,4,0
k1K5/8/5r2/8/8/2R5/8/N1r5 b - - 0 1,R+N vs k+2r,2,1,6,0
4K2P/8/8/8/2P5/8/8/1k2q3 w - - 0 1,2P vs k+q,-2,-4,5,1
6k1/8/3p2N1/8/8/8/2K5/4R3 b - - 0 1,R+N vs k+p,-2,-6,5,0
8/8/8/7q/k4R2/8/2K5/8 b - - 0 1,R vs k+q,2,49,4,0
8/8/7n/8/8/k7/8/4K3 w - - 0 1,K vs k+n,0,0,3,1
5k2/P7/K7/8/8/8/3Q4/3P4 w - - 0 1,Q+2P vs k,2,1,5,1
k7/4K3/8/2B5/8/8/8/8 b - - 0 1,B vs k,0,0,3,0
1q6/1b6/8/4k3/8/p4K2/8/8 w - - 0 1,K vs k+q+b+p,-2,-2,5,1
8/8/2N4q/1p6/K7/p7/1k6/8 b - - 0 1,N vs k+q+2p,2,1,6,0
8/7P/1k1K4/8/6Q1/7q/8/8 w - - 0 1,Q+P vs k+q,2,1,5,1
7K/b7/8/8/8/8/8/k7 w - - 0 1,K vs k+b,0,0,3,1
8/8/8/2Q5/8/K7/8/3k4 w - - 0 1,Q vs k,2,5,3,1
1k6/8/7N/7n/6K1/7n/8/8 w - - 0 1,N vs k+2n,0,0,5,1
4N3/K7/8/5Q2/8/4k3/8/8 b - - 0 1,Q+N vs k,-2,-12,4,0
1n1k4/8/8/8/8/2K5/8/8 b - - 0 1,K vs k+n,0,0,3,0
8/8/8/8/8/K7/3pk3/8 b - - 0 1,K vs k+p,2,1,3,0
8/6K1/2k5/5q1b/8/8/8/8 w - - 0 1,K vs k+q+b,-2,-6,4,1
2K5/3P4/1k6/8/1q6/8/8/3b4 w - - 0 1,P vs k+q+b,0,0,5,1
7R/3B4/8/6k1/8/8/7N/3K4 b - - 0 1,R+B+N vs k,-2,-10,5,0
4k3/8/1P6/3K4/8/6P1/8/q7 w - - 0 1,2P vs k+q,-2,-4,5,1
8/8/3r2q1/r4k2/8/4K3/8/8 w - - 0 1,K vs k+q+2r,-2,-4,5,1
8/4b3/3B4/8/8/8/8/K6k w - - 0 1,B vs k+b,0,0,4,1
8/6p1/8/8/4k3/8/8/K7 w - - 0 1,K vs k+p,-2,-2,3,1
8/5k2/1R6/8/8/8/6K1/8 b - - 0 1,R vs k,-2,-24,3,0
8/6P1/8/3k4/8/1K6/8/8 w - - 0 1,P vs k,2,1,3,1
7k/8/8/3Q3K/8/b7/8/2R5 b - - 0 1,Q+R vs k+b,-2,-4,5,0
8/8/8/4K3/4p3/8/N7/6k1 w - - 0 1,N vs k+p,0,0,4,1
8/2N5/8/7N/4kq2/7K/8/4B3 w - - 0 1,B+2N vs k+q,2,1,6,1
8/4k3/6b1/8/8/7K/8/6N1 b - - 0 1,N vs k+b,0,0,4,0
2K5/8/5Bk1/8/8/8/8/8 w - - 0 1,B vs k,0,0,3,1
p6r/7k/8/4q3/2K5/4N3/8/8 b - - 0 1,N vs k+q+r+p,2,1,6,0
8/8/8/8/K7/5P2/8/k7 b - - 0 1,P vs k,-2,-2,3,0
2K1k3/8/8/8/8/2B2B2/8/8 b - - 0 1,2B vs k,-2,-25,4,0
8/8/8/2k5/8/6K1/1q6/8 b - - 0 1,K vs k+q,2,11,3,0
Kq6/8/8/8/8/n2k2R1/7B/8 w - - 0 1,R+B vs k+q+n,2,1,6,1
8/3r4/5k2/3n4/b7/K7/8/8 b - - 0 1,K vs k+r+b+n,2,5,5,0
8/5K2/8/5P2/8/2k3b1/8/4R3 w - - 0 1,R+P vs k+b,2,3,5,1
7K/8/8/8/1k4Q1/8/8/2B5 b - - 0 1,Q+B vs k,-2,-10,4,0
3N4/5N2/8/8/2K1n3/8/2kN4/8 w - - 0 1,3N vs k+n,2,1,6,1
8/8/6k1/p1K5/8/3N1b2/8/8 w - - 0 1,N vs k+b+p,0,0,5,1
3q4/8/8/8/5k2/3K2P1/8/B7 w - - 0 1,B+P vs k+q,-2,-2,5,1
6B1/6p1/8/6k1/b7/8/5K2/8 b - - 0 1,B vs k+b+p,0,0,5,0
6K1/8/5b2/8/8/8/8/5k2 b - - 0 1,K vs k+b,0,0,3,0
8/8/8/8/8/6k1/4K3/1n6 w - - 0 1,K vs k+n,0,0,3,1
8/8/8/3K4/k7/8/6q1/8 w - - 0 1,K vs k+q,-2,-14,3,1
8/8/4k3/6b1/8/2q5/K7/2q5 b - - 0 1,K vs k+2q+b,2,1,5,0
8/KN6/8/8/8/k1p2P2/8/8 b - - 0 1,N+P vs k+p,2,1,5,0
8/8/8/4q3/r7/1Kk5/3p4/8 w - - 0 1,K vs k+q+r+p,-2,-1,5,1
8/8/2k3B1/8/p7/7K/8/8 w - - 0 1,B vs k+p,0,0,4,1
K7/8/8/8/8/1b6/8/5k2 b - - 0 1,K vs k+b,0,0,3,0
8/k7/8/8/4K3/8/8/q7 w - - 0 1,K vs k+q,-2,-18,3,1
2p5/BK6/8/2N4k/8/8/8/8 w - - 0 1,B+N vs k+p,2,1,5,1
8/6b1/4K3/1b6/4k3/8/8/8 w - - 0 1,K vs k+2b,-2,-23,4,1
k7/8/8/8/8/5K2/8/1R6 b - - 0 1,R vs k,-2,-14,3,0
7k/8/1K6/8/8/8/5P2/8 w - - 0 1,P vs k,2,9,3,1
8/6Q1/1K6/8/8/8/2nk4/8 w - - 0 1,Q vs k+n,2,21,4,1
8/2n5/8/8/2Q5/8/3K2k1/3p4 b - - 0 1,Q vs k+n+p,-2,-2,5,0
8/k7/4Q2K/1q6/8/8/8/8 b - - 0 1,Q vs k+q,0,0,4,0
8/8/5n2/6K1/8/8/8/6kn w - - 0 1,K vs k+2n,0,0,4,1
1B6/8/8/4K3/8/1P6/8/6k1 b - - 0 1,B+P vs k,-2,-2,4,0
8/8/3b4/7Q/8/7k/8/5r1K w - - 0 1,Q vs k+r+b,-2,-1,5,1
8/8/1K6/8/2k5/2b5/8/8 w - - 0 1,K vs k+b,0,0,3,1
8/3K4/6k1/8/5P2/8/8/7q w - - 0 1,P vs k+q,-2,-4,4,1
8/8/1b2k3/8/2RK2B1/8/8/8 w - - 0 1,R+B vs k+b,2,3,5,1
8/4r1k1/1K6/8/5q2/8/n7/8 b - - 0 1,K vs k+q+r+n,2,3,5,0
8/8/3p4/7k/4Q3/4b3/2K5/8 w - - 0 1,Q vs k+b+p,2,1,5,1
2b5/8/1K6/8/8/5k2/8/8 b - - 0 1,K vs k+b,0,0,3,0
8/4k3/8/8/8/8/1R6/1K6 w - - 0 1,R vs k,2,27,3,1
2r4k/8/8/8/2K5/8/8/1n6 w - - 0 1,K vs k+r+n,-2,-18,4,1
1K6/7r/8/2n5/2k4R/4B3/8/8 w - - 0 1,R+B vs k+r+n,2,1,6,1
2k5/8/2p5/8/8/1P3n2/3P4/1K6 b - - 0 1,2P vs k+n+p,2,1,6,0
8/8/8/5K2/3p4/1q4k1/8/7R b - - 0 1,R vs k+q+p,2,1,5,0
8/4N3/7K/4k3/8/8/8/8 w - - 0 1,N vs k,0,0,3,1
8/8/4Q3/3k4/8/8/1K6/8 b - - 0 1,Q vs k,0,0,3,0
8/8/4p3/8/k2K4/3Q4/8/8 b - - 0 1,Q vs k+p,-2,-4,4,0
8/8/2K5/8/2r5/8/k7/8 w - - 0 1,K vs k+r,-2,-30,3,1
8/8/R7/1KQ5/8/1k2B3/5p2/8 w - - 0 1,Q+R+B vs k+p,2,1,6,1
7n/8/8/7k/8/4K3/8/8 b - - 0 1,K vs k+n,0,0,3,0
8/8/3Bb3/k7/8/8/4B3/7K b - - 0 1,2B vs k+b,0,0,5,0
4K1n1/8/8/1k6/6P1/8/8/8 w - - 0 1,P vs k+n,2,1,4,1
8/6N1/8/8/3K4/8/R7/3k4 b - - 0 1,R+N vs k,-2,-10,4,0
8/8/8/6n1/3K4/5b2/8/7k w - - 0 1,K vs k+b+n,-2,-61,4,1
5n2/6r1/3k4/8/8/8/8/3K4 b - - 0 1,K vs k+r+n,2,15,4,0
6p1/8/8/4p1k1/8/8/8/1K6 b - - 0 1,K vs k+2p,2,1,4,0
8/8/8/8/4Q2K/5Nr1/8/4k3 b - - 0 1,Q+N vs k+r,-2,-4,5,0
8/3K2NN/4R3/8/k7/8/8/8 b - - 0 1,R+2N vs k,-2,-14,5,0
8/6P1/7k/8/8/8/8/2K5 w - - 0 1,P vs k,2,1,3,1
8/8/1k6/8/8/5K2/6b1/6Q1 w - - 0 1,Q vs k+b,2,1,4,1
k7/8/8/5Q2/8/2p5/2q5/1K6 b - - 0 1,Q vs k+q+p,2,1,5,0
8/8/3R4/4b3/8/8/5k2/K7 w - - 0 1,R vs k+b,0,0,4,1
8/8/6r1/5B2/2b5/7K/3Q4/6k1 w - - 0 1,Q+B vs k+r+b,2,1,6,1
5B2/k7/8/1K6/8/8/1b6/8 b - - 0 1,B vs k+b,0,0,4,0
p7/8/4k3/8/p7/4N3/6K1/8 b - - 0 1,N vs k+2p,0,0,5,0
4R3/8/6k1/8/8/6K1/8/N1P5 b - - 0 1,R+N+P vs k,-2,-2,5,0
8/1P3K2/2P5/8/8/7k/8/8 w - - 0 1,2P vs k,2,1,4,1
2p5/8/8/6k1/1K6/8/4N3/8 w - - 0 1,N vs k+p,0,0,4,1
8/8/8/Q4BK1/8/1k6/8/8 w - - 0 1,Q+B vs k,2,5,4,1
5k2/8/8/8/5Kr1/8/6b1/8 w - - 0 1,K vs k+r+b,0,0,4,1
8/8/8/5K2/3b4/8/8/4k3 w - - 0 1,K vs k+b,0,0,3,1
R7/8/4k3/8/2K4p/8/p7/8 b - - 0 1,R vs k+2p,0,0,5,0
K3k3/4n3/8/1B6/8/8/6n1/8 b - - 0 1,B vs k+2n,0,0,5,0
8/8/R7/2Q1r2P/8/K7/4k3/8 w - - 0 1,Q+R+P vs k+r,2,1,6,1
6K1/8/8/8/6k1/8/8/2B4b w - - 0 1,B vs k+b,0,0,4,1
8/8/4R2k/8/8/K7/1R6/5q2 b - - 0 1,2R vs k+q,0,0,5,0
8/8/4b2K/8/2k5/8/8/8 w - - 0 1,K vs k+b,0,0,3,1
8/8/1K6/5r2/8/8/8/5k2 b - - 0 1,K vs k+r,2,25,3,0
2K5/8/8/5k2/8/5n2/7r/8 b - - 0 1,K vs k+r+n,2,11,4,0
8/q7/4K3/8/8/7r/8/5k2 w - - 0 1,K vs k+q+r,-2,-6,4,1
3k4/1b6/8/7N/4N3/8/8/K7 w - - 0 1,2N vs k+b,0,0,5,1
8/8/8/6k1/1q6/8/2K5/8 b - - 0 1,K vs k+q,2,9,3,0
4K3/8/3qN3/8/8/8/8/1k1q4 w - - 0 1,N vs k+2q,-2,-2,5,1
7B/8/8/2k5/5K2/8/p7/2q5 w - - 0 1,B vs k+q+p,-2,-2,5,1
8/8/8/6K1/3kQ3/8/8/q1B5 b - - 0 1,Q+B vs k+q,2,1,5,0
8/7K/5P2/B2r4/8/5k2/8/8 w - - 0 1,B+P vs k+r,0,0,5,1
q7/8/3K4/8/8/k7/8/1Q6 w - - 0 1,Q vs k+q,2,3,4,1
K4Q2/8/B7/8/2b5/8/k7/8 w - - 0 1,Q+B vs k+b,2,1,5,1
8/P7/1k6/8/8/6K1/8/8 b - - 0 1,P vs k,0,0,3,0
8/4q3/1p4K1/8/8/8/8/7k w - - 0 1,K vs k+q+p,-2,-2,4,1
6k1/8/5n2/8/8/5K2/8/7R b - - 0 1,R vs k+n,0,0,4,0
8/8/k7/8/1K2Q3/7P/8/8 w - - 0 1,Q+P vs k,2,1,4,1
8/8/8/8/8/2N5/2n5/4k2K w - - 0 1,N vs k+n,0,0,4,1
2n3Q1/1K1Q4/8/7k/8/8/8/4n3 w - - 0 1,2Q vs k+2n,2,1,6,1
8/4p3/2K2kn1/8/8/7B/8/8 w - - 0 1,B vs k+n+p,0,0,5,1
8/8/3K4/1k6/1B6/8/8/8 w - - 0 1,B vs k,0,0,3,1
5q2/7K/8/8/6N1/8/1b2k3/8 w - - 0 1,N vs k+q+b,-2,-6,5,1
7K/8/1qk5/5r2/8/8/8/1q6 b - - 0 1,K vs k+2q+r,2,3,5,0
7k/8/8/8/8/8/7K/5Q2 b - - 0 1,Q vs k,-2,-14,3,0
5K2/8/8/8/3Q4/8/2b4k/8 w - - 0 1,Q vs k+b,2,3,4,1
2q5/5q2/8/8/8/K2k4/8/8 b - - 0 1,K vs k+2q,2,1,4,0
8/8/4k3/8/8/1r6/1K6/8 w - - 0 1,K vs k+r,0,0,3,1
3B2K1/5q2/8/8/3k4/8/8/8 w - - 0 1,B vs k+q,0,0,4,1
6B1/5K2/8/8/2k5/5q2/8/8 w - - 0 1,B vs k+q,-2,-12,4,1
4k3/8/5B2/8/8/8/4K3/4N3 w - - 0 1,B+N vs k,2,54,4,1
5k1K/8/8/8/6Q1/8/8/8 b - - 0 1,Q vs k,-2,-12,3,0
8/R7/4K3/8/4k3/8/8/5B2 b - - 0 1,R+B vs k,-2,-16,4,0
P3K3/8/8/4N3/k7/8/8/7q w - - 0 1,N+P vs k+q,-2,-2,5,1
8/8/3R4/5K2/8/8/k7/8 b - - 0 1,R vs k,-2,-20,3,0
8/8/8/7k/5Q2/7K/8/8 b - - 0 1,Q vs k,-2,-10,3,0
2B5/7K/8/5N2/1k6/3Q4/8/8 w - - 0 1,Q+B+N vs k,2,3,5,1
8/1K5k/8/3pR3/6R1/7r/8/8 w - - 0 1,2R vs k+r+p,2,1,6,1
8/8/2R1p3/8/q7/5k2/8/1K6 b - - 0 1,R vs k+q+p,2,1,5,0
8/8/3n4/3K4/6k1/8/8/8 w - - 0 1,K vs k+n,0,0,3,1
4k3/8/6K1/8/8/8/4r3/8 b - - 0 1,K vs k+r,2,21,3,0
8/8/1n6/8/6b1/7Q/Kp6/7k b - - 0 1,Q vs k+b+n+p,2,1,6,0
7K/8/2k5/8/8/8/6b1/8 w - - 0 1,K vs k+b,0,0,3,1
8/4R3/8/5k2/8/8/8/4K3 b - - 0 1,R vs k,-2,-26,3,0
8/8/8/k7/7K/6n1/8/8 b - - 0 1,K vs k+n,0,0,3,0
1K6/8/6k1/8/8/8/r7/8 b - - 0 1,K vs k+r,2,19,3,0
8/8/8/7k/8/p7/8/5K2 b - - 0 1,K vs k+p,2,1,3,0
1n6/2k5/N7/8/8/8/3B3K/8 b - - 0 1,B+N vs k+n,0,0,5,0
7n/8/8/8/Bk5Q/6K1/8/8 w - - 0 1,Q+B vs k+n,2,1,5,1
8/K7/2P5/8/2p5/8/8/6k1 w - - 0 1,P vs k+p,2,1,4,1
8/8/5K2/2R5/5k1B/8/8/8 b - - 0 1,R+B vs k,-2,-14,4,0
3K4/5k2/8/8/1r2r3/8/3q4/8 w - - 0 1,K vs k+q+2r,-2,-2,5,1
4k3/3n4/3K4/8/4P3/8/6p1/8 b - - 0 1,P vs k+n+p,2,1,5,0
8/6K1/5P2/8/8/8/5N2/5k2 w - - 0 1,N+P vs k,2,1,4,1
8/7q/2k5/q7/7n/8/8/2K5 w - - 0 1,K vs k+2q+n,-2,-2,5,1
5B2/8/8/7R/8/k7/8/K7 b - - 0 1,R+B vs k,-2,-14,4,0
5k2/1p6/8/8/5K2/8/8/1q1R4 b - - 0 1,R vs k+q+p,2,1,5,0
2b5/3k4/8/K7/8/8/4b1r1/8 b - - 0 1,K vs k+r+2b,2,7,5,0
8/q7/4p3/3r3K/8/8/2k2P2/8 b - - 0 1,P vs k+q+r+p,2,1,6,0
8/8/7K/8/6q1/3k4/8/8 w - - 0 1,K vs k+q,-2,-8,3,1
k7/8/8/8/2K5/3P4/6N1/6n1 w - - 0 1,N+P vs k+n,0,0,5,1
n7/5R2/8/N7/2K5/8/8/2k5 w - - 0 1,R+N vs k+n,2,5,5,1
1k6/8/8/8/2K5/8/8/R3B3 w - - 0 1,R+B vs k,2,11,4,1
8/4p3/3n4/8/8/7K/4k3/8 w - - 0 1,K vs k+n+p,-2,-2,4,1
8/8/1K6/2R5/8/8/6k1/8 w - - 0 1,R vs k,2,23,3,1
K7/8/P6P/8/5k2/6Q1/8/8 b - - 0 1,Q+2P vs k,-2,-2,5,0
K7/8/8/8/6B1/8/8/7k b - - 0 1,B vs k,0,0,3,0
P7/4k3/8/5B2/8/8/8/K7 b - - 0 1,B+P vs k,0,0,4,0
8/1K6/8/8/8/5k1n/8/8 b - - 0 1,K vs k+n,0,0,3,0
8/8/7k/8/3n4/8/8/4K3 w - - 0 1,K vs k+n,0,0,3,1
8/2K5/8/P4p2/8/8/8/7k w - - 0 1,P vs k+p,2,1,4,1
8/8/8/1k2K3/1p3P2/8/8/2Q5 b - - 0 1,Q+P vs k+p,-2,-2,5,0
7k/8/6K1/8/8/5R2/8/8 b - - 0 1,R vs k,-2,-4,3,0
8/2r5/8/6K1/8/5k2/8/8 b - - 0 1,K vs k+r,2,17,3,0
2p5/8/8/3P3K/8/8/4k3/8 b - - 0 1,P vs k+p,2,5,4,0
8/6np/8/8/8/6k1/8/5K2 w - - 0 1,K vs k+n+p,-2,-2,4,1
8/8/2q5/8/8/2K5/7k/8 w - - 0 1,K vs k+q,-2,-14,3,1
8/8/5n2/8/8/8/2K5/4k3 w - - 0 1,K vs k+n,0,0,3,1
8/6k1/2K5/8/4p3/7p/8/8 b - - 0 1,K vs k+2p,2,1,4,0
8/8/8/8/8/Pk6/6Q1/7K b - - 0 1,Q+P vs k,-2,-2,4,0
8/8/8/6k1/7P/5B2/3K4/8 b - - 0 1,B+P vs k,0,0,4,0
6k1/8/8/1B1p4/1P6/8/K7/8 w - - 0 1,B+P vs k+p,2,3,5,1
8/8/n2n4/8/K3P3/5k2/8/8 b - - 0 1,P vs k+2n,1,108,5,0
3K4/8/8/8/3k4/1q6/8/8 b - - 0 1,K vs k+q,2,7,3,0
1K6/8/8/6R1/8/2k5/8/8 w - - 0 1,R vs k,2,27,3,1
5K2/8/5k2/8/6r1/8/8/8 w - - 0 1,K vs k+r,-2,-4,3,1
8/8/8/5P1K/8/8/8/5k2 w - - 0 1,P vs k,2,1,3,1
5n2/8/8/4q3/4k3/4K3/8/8 w - - 0 1,K vs k+q+n,-2,-6,4,1
4r3/8/3K4/8/8/8/1B6/4k3 w - - 0 1,B vs k+r,0,0,4,1
8/8/8/4Q3/8/8/1K4k1/3N4 w - - 0 1,Q+N vs k,2,7,4,1
8/2b4K/8/8/8/2Q5/8/k7 b - - 0 1,Q vs k+b,-2,-2,4,0
8/1K6/1b6/8/1k6/8/6r1/8 b - - 0 1,K vs k+r+b,2,5,4,0
8/8/8/8/KP1B4/8/2k5/8 w - - 0 1,B+P vs k,2,1,4,1
2p4Q/8/8/1K1k2Q1/8/6B1/8/8 w - - 0 1,2Q+B vs k+p,2,1,6,1
8/8/8/2k5/6R1/2K1b3/b7/8 w - - 0 1,R vs k+2b,0,0,5,1
8/8/8/3b1K2/8/8/1p3r2/7k w - - 0 1,K vs k+r+b+p,-2,-2,5,1
8/8/8/8/8/5Q1K/8/1k3N2 w - - 0 1,Q+N vs k,2,5,4,1
6b1/8/8/8/7r/k3K3/8/8 w - - 0 1,K vs k+r+b,-2,-18,4,1
4R3/2k2K2/8/8/1r6/4R3/8/8 b - - 0 1,2R vs k+r,-2,-20,5,0
5k2/8/2B5/4Q3/8/K7/8/8 w - - 0 1,Q+B vs k,2,5,4,1
3K4/6n1/8/8/8/8/6k1/B7 b - - 0 1,B vs k+n,0,0,4,0
7r/8/8/8/K7/8/8/b1k5 b - - 0 1,K vs k+r+b,2,11,4,0
2q5/2R5/2K5/8/8/8/8/4k3 w - - 0 1,R vs k+q,2,1,4,1
N7/8/8/1kn4N/8/8/8/K7 w - - 0 1,2N vs k+n,0,0,5,1
8/8/4p3/1k6/8/8/3K4/8 b - - 0 1,K vs k+p,0,0,3,0
8/4n3/7N/1K6/8/2N5/1k6/8 w - - 0 1,2N vs k+n,0,0,5,1
8/8/8/8/8/2Q3q1/5K1k/7B w - - 0 1,Q+B vs k+q,2,1,5,1
8/3n4/2k2B2/1q6/8/8/8/6K1 w - - 0 1,B vs k+q+n,-2,-10,5,1
7K/1n6/5k2/8/4Rr2/8/8/3r4 b - - 0 1,R vs k+2r+n,2,1,6,0
8/8/K1P5/8/5N2/6k1/8/1Q6 b - - 0 1,Q+N+P vs k,-2,-2,5,0
3q4/8/8/1p6/8/k7/8/2K5 b - - 0 1,K vs k+q+p,2,1,4,0
6K1/1q6/3N4/8/8/k7/8/4B3 b - - 0 1,B+N vs k+q,2,3,5,0
8/1n6/8/8/8/8/p2K4/4k1r1 w - - 0 1,K vs k+r+n+p,-2,-2,5,1
8/8/8/6bK/8/8/3k4/8 b - - 0 1,K vs k+b,0,0,3,0
2k5/5K2/8/8/8/4P3/8/8 b - - 0 1,P vs k,-2,-2,3,0
8/p4K2/8/k7/6R1/1R6/8/8 b - - 0 1,2R vs k+p,-2,-2,5,0
4k1K1/8/3b3R/4Q3/8/8/8/5B2 w - - 0 1,Q+R+B vs k+b,2,1,6,1
2N5/8/5k2/4b3/4K3/8/7r/8 b - - 0 1,N vs k+r+b,2,13,5,0
2N5/8/5k2/1b6/8/6K1/8/8 w - - 0 1,N vs k+b,0,0,4,1
3K1n2/k6N/8/8/8/8/8/7R w - - 0 1,R+N vs k+n,2,1,5,1
8/k7/7K/3N4/8/8/8/1b6 w - - 0 1,N vs k+b,0,0,4,1
8/1p6/3K4/8/4Q1p1/5k2/6n1/8 b - - 0 1,Q vs k+n+2p,2,1,6,0
8/4P3/K5Qk/8/8/8/4q3/8 b - - 0 1,Q+P vs k+q,2,1,5,0
8/8/8/2k4r/5K2/8/8/8 w - - 0 1,K vs k+r,-2,-24,3,1
7n/4K3/8/kN6/8/8/8/8 b - - 0 1,N vs k+n,0,0,4,0
3R4/8/8/8/8/b3P3/1k6/7K b - - 0 1,R+P vs k+b,-2,-4,5,0
8/8/8/8/8/5k2/8/7K w - - 0 1,K vs k,0,0,2,1
5K2/5b2/8/8/2b3R1/8/8/7k b - - 0 1,R vs k+2b,0,0,5,0
8/8/8/4K3/8/1b4k1/8/8 b - - 0 1,K vs k+b,0,0,3,0
